# 배당금 내역 파일(편의상 세후 기준으로 입력했음. 따라서 금융소득종합과세 기준 세전 기준 2천만원 비교시 대략 15.4%정도 곱해서 세전 기준으로 비교해야 함.)
# KRW는 환율을 1로 입력
#
# 티커 설명
# SCHD = SCHWAB US DIVI...
# SPYM = STATE STREET SPD...
# JEPI = JP MORGAN EQUIT...
# QQQM = INVESCO NASDAQ...
# SGOV = ISHARE 0-3M...
# BIL = SPDR BLOOMBERG...
# SOXX = ISHARES SEMIC...
# BALI = BLACKLOCK ADVA...
# MSTR = 스트래티지
#
날짜,종목명,통화,배당금,환율
2026-01-01,토스조회,KRW,683142,1
2026-01-05,JEPI,USD,95.67,1442.10
2026-01-05,BLACKROCK,USD,1.10,1442.10
2026-01-05,RISE미국배당100,KRW,805,1
2026-01-19,TIGER미국테크탑10,KRW,71824,1
2026-02-01,토스조회,KRW,663175,1
2026-02-03,ACE미국WideMoat가중,KRW,400,1
2026-02-03,KODEX미국나스닥100,KRW,476,1
2026-02-03,RISE미국배당100데일리,KRW,693,1
2026-02-05,JEPI,USD,77.16,1451.20
2026-02-06,BLACKROCK,USD,0.89,1451.20
2026-02-06,ISHARE,USD,4.95,1451.20
2026-02-06,SPDR,USD,0.12,1451.20
2026-02-12,AAPL,USD,5.20,1454.40
2026-02-20,TIGER미국테크탑10,KRW,69144,1
2026-03-01,토스조회,KRW,541494,1
2026-03-04,RISE미국배당100데일리,KRW,721,1
2026-03-05,JEPI,USD,78.70,1478.80
2026-03-06,BLACKROCK,USD,0.98,1464.30
2026-03-06,ISHARE,USD,4.36,1464.30
2026-03-06,SPDR,USD,0.10,1464.30
2026-03-17,TIGER미국테크탑10,KRW,67536,1
2026-03-18,STATESTREET SPDR,USD,147.14,1491.60
2026-03-20,ISHARES SEMICONDUCT,USD,0.11,1499.70
2026-03-23,ISHARES CORE,USD,0.11,1503.10
2026-03-30,INVESCO NASDAQ100,USD,4.25,1508.10
2026-03-31,SCHD,USD,1538.84,1513.40
2026-04-01,토스조회,KRW,763158,1
2026-04-02,RISE미국배당100데일리,KRW,994,1
2026-04-06,SPDR BLOOMBERG,USD,3.70,1507.60
2026-04-06,JEPI,USD,95.19,1507.60
2026-04-06,SPDR BLOOMBERG,USD,0.17,1507.60
2026-04-08,ISHARES,USD,4.98,1506.80
2026-04-08,BLACKROCK,USD,1.73,1506.80
2026-04-17,TIGER미국테크탑10,KRW,67536,1
2026-04-17,RISE미국배당100데일리,KRW,798,1
2026-05-01,토스조회,KRW,618092,1
2026-05-06,ACE미국WideMoat가중,KRW,360,1
2026-05-06,KODEX미국나스닥100,KRW,1156,1
2026-05-06,JEPI,USD,100.27,1470.50
2026-05-07,BLACKROCK,USD,1.09,1456.80
2026-05-07,SPDR BLOOMBERG,USD,3.77,1456.80
2026-05-07,SPDR BLOOMBERG,USD,93.68,1456.80
2026-05-07,ISHARES,USD,0.27,1456.80
2026-05-14,AAPL,USD,5.40,1495.10
2026-05-19,TIGER미국테크탑10,KRW,73968,1
2026-05-19,RISE미국배당100데일리,KRW,1099,1
2026-06-04,JEPI,USD,87.19,1515.60
2026-06-05,BLACKROCK,USD,1.09,1528.60
2026-06-05,SPDR BLOOMBERG,USD,3.76,1528.60
2026-06-05,SPDR BLOOMBERG,USD,0.27,1528.60
2026-06-05,ISHARES,USD,5.09,1528.60
